26670818,情定河州
25815002,我不是李小龙
26392287,曼哈顿中国女孩
26695995,绿毛水怪
26392292,为了祖国
6389523,天地无用
26266621,看不见的脸
26647079,你无法抵达的时间
26277337,黑夜之神
26378809,传送点
26647075,王二大爷的战争
27148159,致命复活
26528269,行星绿谷
26268576,Alpha
26680414,我和僵尸有个约会
3317352,It Is What It Is
26347315,最寒冷的冬天是旧金山的夏季
26386532,小情歌
26371294,六重门
26754627,山海经之小人国
11516763,羊毛战记
27042445,沙漠
6521915,事出有姻
25857981,擒凶记1894
26828028,喜剧王
25728580,黑暗中的笑声
22963915,牛兄牛弟
10766240,疯狗和英国人
34636095,钢铁之心
26369807,在北极说爱你
26333212,年少轻狂时
21937454,孙悟空之火焰山
26304402,暴力觉醒
27013218,猎魔行动
26996825,猿人突击队
3041297,阿努比斯
25845398,玉女胜典
26389464,印囧
26772465,阿凡达5：追寻伊娃
27195754,未定名新星球大战三部曲第三部
26584586,王亚樵
26694926,狼行者
25920008,排球甜心
26878467,滚蛋吧！渣男
25778491,不够时间好好来爱你
27666571,未确认银翼杀手续集
6875398,Livewire
26781007,第四道封锁线
26337064,三体2
26748045,公主日记3
26373166,游戏扭转者
26373167,算爱大师
26743572,红拂夜奔
27108757,Karnan
4312195,太极
26826392,十面埋伏
26731786,悖论13
2136812,独眼侠
30460419,Spy School
25982457,Titan: The Life of John D. Rockefeller
24889963,阿凡达4：祖古骑士
25718135,僵尸世界大战2
26793863,迪昂妮
26411413,前任也曾是对的人
26298999,繁花
26370387,解密
27054880,南山
30454889,Untitled Abby Kohn/Marc Silverstein Romantic Comedy
33446894,未定名星球大战项目2
30170847,神偷奶爸4
26746777,Amok
25778489,顶峰
5348089,阿凡达3：带种者
26674020,买凶杀狗
27030638,Untitled Marvel Project
27195110,未定名新星球大战三部曲第一部
3269092,树屋
6874792,凤凰
25723080,莫洛博士岛
1499149,功夫2
27091382,刺狐
26738979,歌舞青春4
30167997,黑豹2
26256370,Joseph Merrick
22854093,The Power of the Dog
26912221,魔女狂花
26936171,黑暗物质
26901418,未定名Alexander Hawke特工电影
26599767,摩登之海
3011514,日落大道
10432180,Harker
3439365,史蒂夫·麦奎因
26879688,沃霍尔
25792612,诱惑英格丽·褒曼
26258779,银河护卫队3
25727231,眺望旅馆
3718468,破娃娃
26809127,The Marquis
26600304,洗礼
24701005,Alienology
26410682,凯蒂猫大电影
30444942,海王2
3718495,出现在我脑海
33406921,Huck
20399340,Risen
3148091,通缉令2
26434828,星际迷航4
30171998,你房里有人
22825908,苍之URU 剧场版
10551473,永恒的爱
11501204,雪崩
2363948,Colossus
25749280,Girlfriend in a Coma
11518998,武士
10526385,The Food of Love
30371679,百分之十一
3041286,Legion of 5
26594527,君子道：上海滩后传
26277246,叶栅
26717831,东西方
26648932,幸好有牛奶
26728612,桑迪顿
26925611,你想活出怎样的人生
2609258,芝加哥七君子审判
27011204,不列顛之战
4132412,飓风中的清白者
7065153,Untitled Bobby Glickert/Sci-Fi Thriller Project
30267333,密室之不可逃脱
30267295,千岛湖之恋
30290068,超级宠物
22265844,Untitled Maria Callas Project
26721433,沙堡帝国
3543304,革命往事
27125418,杀破狼3
11580859,二十一世纪特工
27108754,Mahabharata: Part 2
25863752,Martian Time-Slip
3279058,Villains
7052443,福特之城
30198716,黑鹰
26780086,汽车人总动员2：疯狂逆袭
25769306,神庙逃亡
26265958,未定名保罗·罗伯逊传记电影
3013605,重金属
26802731,女巫猎人
3104219,窈窕淑女
1946861,白色爵士
26639112,老虎和兔子
26653386,伯恩斯坦
30226047,未定名尤利西斯·格兰特传记片
25884655,摩登原始人
30449275,永恒的爱
33385049,老虎的学徒
24754298,去拉萨
21446970,超能失控2
10810266,莫斯科任务
34456114,未定名崔东勋导演电影
4845732,中国奥德赛
27003700,Cold Warriors
3614970,落水鸟
30411578,超级宠物
7051829,Quasimodo
26641068,未定名李·米勒传记片
3608727,City of Lies
6736968,弗兰克或是弗朗西斯
3628378,玛士撒拉
2137271,牧羊少年奇幻之旅
19944306,地心历险记3
26370432,Runner
26824810,Moonfall
3078409,古驰
26756309,可怕之日
2998467,未定名我是传奇重启版
26665355,执念师
26335589,群星，我的归宿
26413207,比克
26753492,泡泡
20504973,Born To Be King
4092781,斧头
10749552,Blowback
26335566,无人驾驶汽车赛
26353593,异形帝国
30230603,冰龙
26826370,如来神掌
26687682,莱姆街的女巫
27171397,阿娜
26355628,Ingress
26666902,回归
26899272,乔治和塔米
28458097,Jigsaw
25698277,太阳战士
26666400,记忆碎片
27063833,逃离炼狱
20450379,The Man Who
27073064,悬棺
34678231,惊奇队长2
30246476,创：战纪3
5152649,Commando
2136828,Interworld
30299081,女超人
6875267,未定名午夜狂奔续集
4301124,未定名乔治·格什温传记电影
26830784,六号关口
10743973,追捕
26897891,泽尔达
26352020,Narco Sub
33437147,米斯卡塔尼克
2998468,The Infiltrator
10456937,深水
26590074,龙族
26840351,Dänemark-Wetter
4285992,魔法奇缘2：解除魔法
30291498,赏金骇客
3267199,Dead Spy Running
21324292,Undercover Cop
26635029,疯狂的麦克斯6
24325896,Heist
3428547,邦尼和克莱德的故事
2989728,阿基拉
30255682,蛛丝
30391214,未定名使命召唤续集
3927755,Echo
26741216,刺客信条2
1891203,Dirty Tricks
19973827,造梦机器
21328097,斩马刀
26946520,笨蛋都到齐了
27666525,与神同行4
30290821,御猫妙鼠
26389014,急转直下
10467754,放浪记
30290523,黑杰
26632474,American Commerce
3089564,拉特伯格强盗
3885124,Hansel and Gretel in 3D
26967871,A néma barát
3760978,不明飞行物
26008162,未定名雷蒙斯乐队电影
5327132,卡特打败了魔鬼
27596873,识夜描银 动画电影
26883274,神像之眼
27073139,未定名异形契约续集
26344874,甄嬛传
26433416,谎言之屋
4849702,Tender Is the Night
10578311,Black and White
27596219,破晓猎刃-追猎
34610636,蚁人3
6874144,Brat Pack
3267045,克利奥
4191651,Sex Education
34438296,中国缉毒密战
30345743,星际宝贝
26793071,破碎玻璃之光
33439003,乐器
34437967,马尔科
30483562,Untitled Hello Kitty Film
34430141,犬王
33450307,撒旦真实存在
30483011,小鱼
33441781,立即应召
30473278,暴雨将至
6393341,幽灵
27666645,Hora staccato
33438353,天仓五第四行星
30471496,幸运
33665781,马可效应
33440169,胖子
30345260,边境杀手3
33442360,恶棍之城
30482152,无穷
30478334,V.F.W.
25905778,马达加斯加4
33441941,拳影迷宫
34442455,特斯拉
30271244,机械战警归来
30482153,众神殿
30309158,中国富豪女友
26933210,蜘蛛侠：英雄归来3
30488999,杰特·戴
33454919,旅程
33455421,疾速追杀4
33646350,白雪公主与七个小矮人
4849741,尸体交错
33619546,未定名阿尔文·艾利传记片
33399500,大都会
33477441,觉醒
33399978,实金
3262074,暴力信条
24706563,最后的派对
26840350,Für Kate
6424756,蝙蝠侠
30147380,Foster
33456586,Covers
3099221,活死人军团
33406469,万德
33406097,红，白，皇家蓝
33417091,达科塔
33408069,巅峰游戏：终极玩家
33415948,猎手
30317701,国王
33415845,乐队男孩
33414989,特警新人类3
33414567,爱情，婚礼和其它灾难
33395322,舞动
20451138,大侦探福尔摩斯3
4038178,罗伯
30170520,温德尔和怀尔德
33433365,法式告别
33433374,寻子遇仙记：动画冒险
32526138,卢克索
26962981,欢乐好声音2
33433363,一千只纸鹤
32578681,柔道煞星
33446786,艾菲尔铁塔
30299369,Jackpot
33119777,摄影机不要停！
26362789,疯狂的麦克斯5：废土
34261431,导线以外
33447883,欢乐的精灵
33447874,A计划
30174089,廉政风云·内幕
33447866,拜拜笨蛋
2131664,真人快打：毁灭
34437489,基德家的精妙富丽秀
33459705,10场相亲
33450303,西尔维娅
33385437,深红
27606065,电动状态
33452850,兰斯基
33452845,瓢虫和黑猫觉醒
32579501,反贪风暴5
33437164,幸福生活
30424308,Only
30448591,枪口下的婚礼
27029838,智取威虎山前传
2042941,养鬼吃人
27094792,死射
30465307,尽数杀光
30433455,碟中谍7
3148018,流沙
34458863,银河
30246373,未定名超杀女独立电影
25770128,姐妹
34778519,甜心女孩
34658989,亚特兰蒂斯：失落的帝国真人版电影
30419720,中国拳王
26907479,摸金玦
30459571,幽灵征募
34779806,未定名郎朗传记电影
34768157,冠军亚瑟
26657516,刀锋剑客
30209725,355
25769235,拿破仑
34781459,太空歌剧
26741632,自杀小队2
30449238,云中阴影
30463829,角头3
34460415,新世界的孩子
30450313,言而有信的年轻女人
30394797,尚气
30373664,怪物史瑞克
30459570,乐高蝙蝠侠大电影2
26681550,喜羊羊与灰太狼大电影8
30456637,沿路而下
30435044,钟楼怪人
27056396,宝贝老板2
25834936,空中大灌篮2
34659906,女高怪谈重启：母校
30304994,奇异博士2
30444966,大侦探皮卡丘2
24325859,心碎画廊
34456104,轨道纪元
34467461,巴比伦
30443452,回声
27093500,氧气
26745332,花月杀手
3010390,紫色
34470709,与我结婚
3323941,岛王
34477861,雷神4
25709322,许我向你看
33422436,思い、思われ、ふり、ふられ
30435110,黑暗的心
25782720,GT赛车
33425932,鸣鸟不飞
33425939,她来看我的电影
33422501,舞会
33427541,离·岛
26771668,天空制造
33429617,我的佣兵生涯
26433395,超体2
30395841,银翅
30371713,代客泊车
25926351,悲惨世界
26820621,西区故事
27596836,睿智的金发女郎
5327162,弗兰肯斯坦
3804584,弗兰肯斯坦的新娘
26981368,独一无二的伊万
4001700,全民超人汉考克2
26771667,三重门
30433583,刺杀黄大仙
33424358,永不言败
33427430,猎盗者之彼岸花
6799033,危险女孩
26888761,青蜂侠
30433388,Free！完全新作劇場版
30396388,剧透预警：主角死了
27039048,天狼
33424111,白井
26337873,昔日恋人
33423676,警醒
33425808,那年的情书
30148188,动物总动员2
26353083,盖世英雄
2263061,拥挤的房间
25944296,The Black Count
30314127,极限营救
26822889,Aleister Arcane
25936914,骷髅岛：金刚之血
26890972,命悬一线
33428612,Invitation
26687690,蒙面斗士
30314848,Everything Everywhere All at Once
26745341,迷航昆仑墟
26744598,昆仑神宫
