datetime,count
2011-01-20 00:00:00,17.704
2011-01-20 01:00:00,11.69
2011-01-20 02:00:00,10.86
2011-01-20 03:00:00,8.864
2011-01-20 04:00:00,8.792
2011-01-20 05:00:00,13.48
2011-01-20 06:00:00,36.288
2011-01-20 07:00:00,124.476
2011-01-20 08:00:00,155.102
2011-01-20 09:00:00,105.968
2011-01-20 10:00:00,85.016
2011-01-20 11:00:00,81.448
2011-01-20 12:00:00,104.60685714285715
2011-01-20 13:00:00,82.074
2011-01-20 14:00:00,93.268
2011-01-20 15:00:00,101.236
2011-01-20 16:00:00,101.234
2011-01-20 17:00:00,128.196
2011-01-20 18:00:00,130.812
2011-01-20 19:00:00,106.938
2011-01-20 20:00:00,91.984
2011-01-20 21:00:00,59.978
2011-01-20 22:00:00,51.158
2011-01-20 23:00:00,45.14
2011-01-21 00:00:00,16.172
2011-01-21 01:00:00,11.632
2011-01-21 02:00:00,8.402
2011-01-21 03:00:00,6.636
2011-01-21 04:00:00,10.29
2011-01-21 05:00:00,17.46
2011-01-21 06:00:00,36.35
2011-01-21 07:00:00,130.972
2011-01-21 08:00:00,150.156
2011-01-21 09:00:00,125.894
2011-01-21 10:00:00,68.522
2011-01-21 11:00:00,72.20485714285715
2011-01-21 12:00:00,94.29085714285715
2011-01-21 13:00:00,96.29085714285715
2011-01-21 14:00:00,85.88885714285715
2011-01-21 15:00:00,85.54085714285715
2011-01-21 16:00:00,90.5796
2011-01-21 17:00:00,101.802
2011-01-21 18:00:00,92.186
2011-01-21 19:00:00,81.11
2011-01-21 20:00:00,69.442
2011-01-21 21:00:00,53.298
2011-01-21 22:00:00,46.062
2011-01-21 23:00:00,43.178
2011-01-22 00:00:00,18.562
2011-01-22 01:00:00,16.288
2011-01-22 02:00:00,14.726
2011-01-22 03:00:00,11.674
2011-01-22 04:00:00,9.084
2011-01-22 06:00:00,11.872
2011-01-22 07:00:00,38.232
2011-01-22 08:00:00,43.308
2011-01-22 09:00:00,44.542
2011-01-22 10:00:00,51.362
